tiempo,variable 1,Setpoint,variable 2,perturbacion
0,0,-0.12,-0.12,0
0.001674591,-1.68E-07,-0.12,-0.119999832,0
0.010047546,-6.05E-06,-0.12,-0.119993953,0
0.05191232,-0.000160133,-0.12,-0.119839867,0
0.261236189,-0.003819767,-0.12,-0.116180233,0
0.500934516,-0.012608026,-0.12,-0.107391974,0
0.809074503,-0.026969158,-0.12,-0.093030842,0
1.192049833,-0.041785803,-0.12,-0.078214197,0
1.581341188,-0.047398769,-0.12,-0.072601231,0
1.6,-0.047409388,-0.12,-0.072590612,0
1.6,-0.047409388,0.72,0.767409388,0
1.6,-0.047409388,0.72,0.767409388,0
1.901513337,-0.009941399,0.72,0.729941399,0
2.19787139,0.079013945,0.72,0.640986055,0
2.532179953,0.192665538,0.72,0.527334462,0
2.923422093,0.281382179,0.72,0.438617821,0
3.306177805,0.293534146,0.72,0.426465854,0
3.70062929,0.249805824,0.72,0.470194176,0
4.15577216,0.192245454,0.72,0.527754546,0
4.614895328,0.181516591,0.72,0.538483409,0
5,0.212867665,0.72,0.507132335,0
5.491665826,0.269355282,0.72,0.450644718,0
5.995677729,0.30085375,0.72,0.41914625,0
6.475747026,0.295665188,0.72,0.424334812,0
6.995029442,0.277460967,0.72,0.442539033,0
7.560760148,0.276267795,0.72,0.443732205,0
8.097251033,0.29564399,0.72,0.42435601,0
8.708610401,0.316952767,0.72,0.403047233,0
9.352856254,0.320512132,0.72,0.399487868,0
10,0.316277533,0.72,0.403722467,0
10.70894716,0.321353621,0.72,0.398646379,0
11.38037176,0.331717464,0.72,0.388282536,0
12.18048384,0.336776036,0.72,0.383223964,0
12.9371395,0.336904043,0.72,0.383095957,0
13.83262467,0.341333172,0.72,0.378666828,0
14.67293481,0.345816776,0.72,0.374183224,0
15,0.346567475,0.72,1.373432525,1
15.32605511,0.395342022,0.72,1.324657978,1
15.65211022,0.510215815,0.72,1.209784185,1
16.04647879,0.656618859,0.72,1.063381141,1
16.4596628,0.738866211,0.72,0.981133789,1
16.83732548,0.732457922,0.72,0.987542078,1
17.24712915,0.676724138,0.72,1.043275862,1
17.70758701,0.627682048,0.72,1.092317952,1
18.15190408,0.637449453,0.72,1.082550547,1
18.58146792,0.688967073,0.72,1.031032927,1
19.10701609,0.751970775,0.72,0.968029225,1
19.63247392,0.771052962,0.72,0.948947038,1
20,0.761700277,0.72,-0.041700277,0
20.36331391,0.689951954,0.72,0.030048046,0
20.72662781,0.552332182,0.72,0.167667818,0
21.13216783,0.421146805,0.72,0.298853195,0
21.52430921,0.379470612,0.72,0.340529388,0
21.90308015,0.415615952,0.72,0.304384048,0
22.3402412,0.49028767,0.72,0.22971233,0
22.79579861,0.531022714,0.72,0.188977286,0
23.22065457,0.509968301,0.72,0.210031699,0
23.66494787,0.454119146,0.72,0.265880854,0
24.17564495,0.405053421,0.72,0.314946579,0
24.66925156,0.401984789,0.72,0.318015211,0
25,0.416516232,0.72,0.303483768,0
25.57375239,0.437788821,0.72,0.282211179,0
26.15686874,0.42860663,0.72,0.29139337,0
26.69067655,0.404997239,0.72,0.315002761,0
27.3327126,0.389744909,0.72,0.330255091,0
27.93860442,0.394001029,0.72,0.325998971,0
28.5952451,0.398329937,0.72,0.321670063,0
29.32971899,0.389461904,0.72,0.330538096,0
30,0.380385916,0.72,0.339614084,0
30.81549541,0.379313969,0.72,0.340686031,0
31.56482246,0.379342541,0.72,0.340657459,0
32.48043738,0.37396208,0.72,0.34603792,0
33.33253385,0.371073461,0.72,0.348926539,0
34.29648408,0.370470613,0.72,0.349529387,0
35,0.368748795,0.72,0.351251205,0
36.06931204,0.366451765,0.72,0.353548235,0
37.31435706,0.365568893,0.72,0.354431107,0
38.54138877,0.363828831,0.72,0.356171169,0
39.7838974,0.363358286,0.72,0.356641714,0
40,0.363204872,0.72,0.356795128,0
41.080513,0.362293287,0.72,0.357706713,0
42.49639288,0.361956274,0.72,0.358043726,0
43.90578612,0.361157357,0.72,0.358842643,0
44.4,0.361117089,0.72,0.358882911,0
44.4,0.361117089,1.7,1.338882911,0
44.4,0.361117089,1.7,1.338882911,0
44.75449649,0.416522874,1.7,1.283477126,0
45,0.500764976,1.7,1.199235024,0
45.41258991,0.653046789,1.7,1.046953211,0
45.8299103,0.740456588,1.7,0.959543412,0
46.21170811,0.737823102,1.7,0.962176898,0
46.62043083,0.683541587,1.7,1.016458413,0
47.08298457,0.63188051,1.7,1.06811949,0
47.53627057,0.638417317,1.7,1.061582683,0
47.9681947,0.687941782,1.7,1.012058218,0
48.49712461,0.749990905,1.7,0.950009095,0
49.02300234,0.768761894,1.7,0.931238106,0
49.50342235,0.755039255,1.7,0.944960745,0
50,0.741821416,1.7,1.958178584,1
50.3486882,0.799697374,1.7,1.900302626,1
50.6973764,0.938597658,1.7,1.761402342,1
51.1017889,1.102174329,1.7,1.597825671,1
51.51471192,1.185539543,1.7,1.514460457,1
51.89032687,1.174426218,1.7,1.525573782,1
52.3053129,1.113789506,1.7,1.586210494,1
52.77168068,1.067427246,1.7,1.632572754,1
53.20785444,1.086111406,1.7,1.613888594,1
53.6392499,1.146781397,1.7,1.553218603,1
54.1683938,1.215659576,1.7,1.484340424,1
54.68995347,1.23431447,1.7,1.46568553,1
55,1.226378113,1.7,0.473621887,0
55.36429702,1.154216173,1.7,0.545783827,0
55.72859404,1.016274743,1.7,0.683725257,0
56.14605476,0.884228467,1.7,0.815771533,0
56.53916689,0.848417471,1.7,0.851582529,0
56.92022182,0.889866475,1.7,0.810133525,0
57.36503092,0.968060531,1.7,0.731939469,0
57.83458634,1.006789398,1.7,0.693210602,0
58.25947015,0.981788693,1.7,0.718211307,0
58.71253523,0.924648608,1.7,0.775351392,0
59.23724784,0.880192823,1.7,0.819807177,0
59.72500399,0.883424434,1.7,0.816575566,0
60,0.896857393,1.7,0.803142607,0
60.59210568,0.919608756,1.7,0.780391244,0
61.19082297,0.909537526,1.7,0.790462474,0
61.72770935,0.886397307,1.7,0.813602693,0
62.3875388,0.873477171,1.7,0.826522829,0
62.99062726,0.879431238,1.7,0.820568762,0
63.67368561,0.883469597,1.7,0.816530403,0
64.39802635,0.874281135,1.7,0.825718865,0
65,0.866825894,1.7,0.833174106,0
65.82010406,0.86638596,1.7,0.83361404,0
66.57230518,0.86680752,1.7,0.83319248,0
67.51612254,0.861628476,1.7,0.838371524,0
68.37067115,0.859294484,1.7,0.840705516,0
69.3248825,0.859002577,1.7,0.840997423,0
70,0.857496101,1.7,0.842503899,0
70,0.857496101,0.82,-0.037496101,0
70,0.857496101,0.82,-0.037496101,0
70.36043527,0.8053128,0.82,0.0146872,0
70.72087054,0.688554549,0.82,0.131445451,0
71.15525927,0.556853144,0.82,0.263146856,0
71.57769394,0.507649262,0.82,0.312350738,0
71.97074026,0.532568221,0.82,0.287431779,0
72.42334986,0.589857684,0.82,0.230142316,0
72.91084011,0.614421984,0.82,0.205578016,0
73.35307727,0.584502002,0.82,0.235497998,0
73.82510877,0.528960382,0.82,0.291039618,0
74.3703492,0.488949933,0.82,0.331050067,0
74.87206019,0.490798757,0.82,0.329201243,0
75,0.494757505,0.82,0.325242495,0
75.62775568,0.509941501,0.82,0.310058499,0
76.24256537,0.497198159,0.82,0.322801841,0
76.79803796,0.473471989,0.82,0.346528011,0
77.48428608,0.458657912,0.82,0.361342088,0
78.11114075,0.460600619,0.82,0.359399381,0
78.83387422,0.459193212,0.82,0.360806788,0
79.56948414,0.44757513,0.82,0.37242487,0
80,0.441648159,0.82,0.378351841,0
80.80162883,0.438054242,0.82,0.381945758,0
81.5797156,0.43650838,0.82,0.38349162,0
82.54803256,0.429965308,0.82,0.390034692,0
83.42471016,0.42623557,0.82,0.39376443,0
84.42224836,0.424361222,0.82,0.395638778,0
85,0.422485772,0.82,1.397514228,1
85.33195703,0.471367625,0.82,1.348632375,1
85.66391406,0.587927947,0.82,1.232072053,1
86.08818915,0.740519246,0.82,1.079480754,1
86.51433218,0.811941928,0.82,1.008058072,1
86.89627926,0.794137857,0.82,1.025862143,1
87.32176281,0.732221807,0.82,1.087778193,1
87.79605537,0.689446442,0.82,1.130553558,1
88.23565285,0.708783877,0.82,1.111216123,1
88.67875502,0.764803104,0.82,1.055196896,1
89.21385146,0.821069196,0.82,0.998930804,1
89.72785465,0.829758828,0.82,0.990241172,1
90,0.82109161,0.82,-0.00109161,0
90.36189806,0.749089931,0.82,0.070910069,0
90.72379612,0.61148002,0.82,0.20851998,0
91.14217436,0.476310445,0.82,0.343689555,0
91.53755734,0.436510223,0.82,0.383489777,0
91.91895551,0.474505773,0.82,0.345494227,0
92.36260195,0.549446669,0.82,0.270553331,0
92.83300521,0.58658591,0.82,0.23341409,0
93.25922203,0.560613308,0.82,0.259386692,0
93.71209039,0.502448772,0.82,0.317551228,0
94.23805344,0.45614497,0.82,0.36385503,0
94.72768361,0.45756159,0.82,0.36243841,0
95,0.469876982,0.82,0.350123018,0
95.59344072,0.490983703,0.82,0.329016297,0
96.19378681,0.479712127,0.82,0.340287873,0
96.73153584,0.455664353,0.82,0.364335647,0
97.39288398,0.441625298,0.82,0.378374702,0
97.99747616,0.446552796,0.82,0.373447204,0
98.68212396,0.449517698,0.82,0.370482302,0
99.4074096,0.439476935,0.82,0.380523065,0
100,0.431575255,0.82,0.388424745,0
